node	isRegulator	AnimalTFDB	RegNetwork
LEPR	-	-	-
SOCS1	-	-	-
SOCS5	-	-	-
IFNB1	+	TcF	-
PIK3R1	-	-	-
PTPN11	-	-	-
SOCS3	-	-	-
PIK3CG	-	-	-
IL6ST	-	-	-
SOCS4	-	-	-
STAT1	+	TF	+
GHR	-	-	-
CISH	-	-	-
STAT2	+	TF	+
IL2RB	-	-	-
STAT6	+	TF	+
CSF2RB	-	-	-
STAM2	-	-	-
JAK1	-	-	-
STAM	-	-	-
PIK3CD	-	-	-
STAT5A	+	TF	+
CBLB	-	-	-
IL23R	-	-	-
STAT3	+	TF	+
PRLR	-	-	-
IL5RA	-	-	-
MPL	-	-	-
ILF2	+	TcF	+
DHX9	-	-	-
CHTOP	-	-	-
MYH9	-	-	-
ANXA2	-	-	-
S100A4	-	-	-
S100A1	-	-	-
CACYBP	-	-	-
ERN1	-	-	-
ATF6	+	TF	+
BAK1	-	-	-
SAR1B	-	-	-
SEC23A	-	-	-
SEC23B	-	-	-
SEC22B	-	-	-
SEC13	-	-	-
SEC24B	-	-	-
PREB	+	-	+
SCAP	-	-	-
GID8	-	-	-
ARMC8	-	-	-
RANBP10	-	-	-
MAEA	-	-	-
RMND5B	-	-	-
RANBP9	-	-	-
GRK4	-	-	-
KCTD10	-	-	-
ATXN3	-	-	-
B9D1	-	-	-
COL6A1	-	-	-
COL1A1	-	-	-
COL5A3	-	-	-
COL5A1	-	-	-
COL24A1	-	-	-
COL1A2	-	-	-
COL4A1	-	-	-
COL4A2	-	-	-
COL16A1	-	-	-
COL27A1	-	-	-
COL12A1	-	-	-
COL5A2	-	-	-
COL4A4	-	-	-
COL3A1	-	-	-
COL11A1	-	-	-
COL4A6	-	-	-
COL23A1	-	-	-
COL10A1	-	-	-
COL20A1	-	-	-
COL4A5	-	-	-
COL4A3	-	-	-
ARAF	-	-	-
C3	-	-	-
NDE1	-	-	-
CCP110	-	-	-
PCM1	-	-	-
CETN2	-	-	-
COL6A2	-	-	-
FTCD	-	-	-
AMDHD1	-	-	-
MAX	+	TF	+
SNRNP27	-	-	-
OCRL	-	-	-
ARHGEF18	-	-	-
ARHGEF16	-	-	-
APPL1	-	-	-
ARHGEF3	-	-	-
MTM1	-	-	-
FAM109A	-	-	-
NGEF	-	-	-
NET1	-	-	-
ABR	-	-	-
ARHGEF9	-	-	-
ITSN1	-	-	-
AKAP13	-	-	-
AGPAT3	-	-	-
SLC26A3	-	-	-
CFTR	-	-	-
DNMT1	+	CRF	+
EME1	-	-	-
CKB	-	-	-
ASB9	+	-	+
EFNB2	-	-	-
EFNB1	-	-	-
SP1	+	TF	+
RB1	+	TcF	+
MYC	+	TF	+
EPAS1	+	-	+
SMAD4	+	TF	+
SMAD2	+	TF	+
RELA	+	TF	+
SMARCD3	+	CRF	+
ATF7IP	+	TcF	+
ETS1	+	TF	+
SMAD3	+	TF	+
NFYA	+	TF	+
MYCN	+	TF	+
CHD9	+	TcF	-
NFYC	+	TF	+
PPARA	+	TF	+
EGR1	+	TF	+
ESR1	+	TF	+
RXRA	+	TF	+
E2F1	+	TF	+
REL	+	TF	+
KLF4	+	TF	+
NFYB	+	TF	+
POU2F1	+	TF	+
ITGA3	-	-	-
ITGAE	-	-	-
ACTN3	-	-	-
ITGB7	-	-	-
ACTN1	-	-	-
ITGA8	-	-	-
ITGA6	-	-	-
ITGA10	-	-	-
ITGA11	-	-	-
ITGA9	-	-	-
ITGA2	-	-	-
FN1	-	-	-
ACTN4	-	-	-
ACTN2	-	-	-
ITGA1	-	-	-
FLNA	+	TcF	-
COL6A3	-	-	-
PPAN	-	-	-
RPF2	-	-	-
RRP15	-	-	-
ITSN2	-	-	-
FARSA	-	-	-
QARS	-	-	-
CARS	-	-	-
RARS	-	-	-
DALRD3	-	-	-
UBB	-	-	-
FARS2	-	-	-
TARS	-	-	-
XRCC5	+	-	+
DARS	-	-	-
RARS2	-	-	-
OASL1	-	-	-
OASL2	-	-	-
AIMP2	-	-	-
OAS3	-	-	-
UBD	-	-	-
XPOT	-	-	-
EPRS	-	-	-
MARS2	-	-	-
YARS	-	-	-
OAS2	-	-	-
OAS1A	-	-	-
ISG15	-	-	-
OAS1G	-	-	-
VARS	-	-	-
KARS	-	-	-
LARS	-	-	-
UBL4B	-	-	-
UBC	-	-	-
IARS	-	-	-
MARS	-	-	-
CNN1	-	-	-
FBXO9	-	-	-
CACUL1	-	-	-
APBB3	-	-	-
SF3A1	-	-	-
PRPF6	+	TcF	-
SNRPD1	+	-	+
LSM2	-	-	-
PRPF31	-	-	-
PRPF3	-	-	-
SART3	-	-	-
SNRPD3	-	-	-
SF3B2	-	-	-
SF3B1	-	-	-
SF3A3	-	-	-
